sample_index,text,summary,model,Context Inconsistency,Instruction Inconsistency,Temporal/Number Error,Named-Entity Error,Fabrication,Inference,Code-switch,Grammar Error,Other/comment,factual_claims,hallucination_density,Summary Rating
0,"وستحتفظ ماكينزي لنفسها بحصة 4% من أسهم شركة أمازون التي أسسها بيزوس قبل 25 عاما. وأعلنت ماكينزي الاتفاق في تغريدة نشرتها على حسابها على موقع تويتر وهي التغريدة الأولى والوحيدة لها على الموقع منذ اشتركت فيه قبل أيام. وعاش جيف وماكينزي بيزوس معا منذ مطلع التسعينات من القرن الماضي وأنجبا 4 أبناء. وتعتبر امازون واحدة من أقوى مواقع المبيعات على شبكة الإنترنت وبلغ حجم مبيعاتها العام الماضي نحو 232 مليار دولار وقد ساهمت الشركة في تضخم ثروة بيزوس وأسرته منذ أسسها عام 1994 لتصبح أكثر من 131 مليار دولار حسب مجلة فوربس الامريكية. أما ماكينزي بيزوس فهي مؤلفة وروائية ناجحة ولها روايتان منشورتان حيث تعلمت فن القص في جامعة برينستون على يدي توني موريسون الفائزة بجائزة نوبل. ووصفتها موريسون قائلة إنها ""بالفعل واحدة من أفضل الطلبة الذين درست لهم فن الكتابة الإبداعية"". وتعد هذه التسوية هي الأعلى في التاريخ منذ انفصال تاجر التحف أليك ويلدرستاين وزوجته السابقة عام 1999 والتي دفع بموجبها لزوجته 3.8 مليار دولار.",وافق أغنى رجل في العالم وصاحب شركة أ مازون وزوجته ماكينزي على اتفاق للانفصال يدفع بموجبه بيزوس لها 35 مليار دولار.,Allam,Yes,No,Yes,No,No,Yes,No,No,,3.0,0.2,4 – Mostly Faithful: all major facts correct; minor issues only
0,"وستحتفظ ماكينزي لنفسها بحصة 4% من أسهم شركة أمازون التي أسسها بيزوس قبل 25 عاما. وأعلنت ماكينزي الاتفاق في تغريدة نشرتها على حسابها على موقع تويتر وهي التغريدة الأولى والوحيدة لها على الموقع منذ اشتركت فيه قبل أيام. وعاش جيف وماكينزي بيزوس معا منذ مطلع التسعينات من القرن الماضي وأنجبا 4 أبناء. وتعتبر امازون واحدة من أقوى مواقع المبيعات على شبكة الإنترنت وبلغ حجم مبيعاتها العام الماضي نحو 232 مليار دولار وقد ساهمت الشركة في تضخم ثروة بيزوس وأسرته منذ أسسها عام 1994 لتصبح أكثر من 131 مليار دولار حسب مجلة فوربس الامريكية. أما ماكينزي بيزوس فهي مؤلفة وروائية ناجحة ولها روايتان منشورتان حيث تعلمت فن القص في جامعة برينستون على يدي توني موريسون الفائزة بجائزة نوبل. ووصفتها موريسون قائلة إنها ""بالفعل واحدة من أفضل الطلبة الذين درست لهم فن الكتابة الإبداعية"". وتعد هذه التسوية هي الأعلى في التاريخ منذ انفصال تاجر التحف أليك ويلدرستاين وزوجته السابقة عام 1999 والتي دفع بموجبها لزوجته 3.8 مليار دولار.",وافق أغنى رجل في العالم وصاحب شركة أ مازون وزوجته ماكينزي على اتفاق للانفصال يدفع بموجبه بيزوس لها 35 مليار دولار.,Fanar,Yes,No,Yes,No,Yes,No,Yes,No,,5.0,0.4,3 – Partially Faithful: some correct info but key omissions/distortions
0,"وستحتفظ ماكينزي لنفسها بحصة 4% من أسهم شركة أمازون التي أسسها بيزوس قبل 25 عاما. وأعلنت ماكينزي الاتفاق في تغريدة نشرتها على حسابها على موقع تويتر وهي التغريدة الأولى والوحيدة لها على الموقع منذ اشتركت فيه قبل أيام. وعاش جيف وماكينزي بيزوس معا منذ مطلع التسعينات من القرن الماضي وأنجبا 4 أبناء. وتعتبر امازون واحدة من أقوى مواقع المبيعات على شبكة الإنترنت وبلغ حجم مبيعاتها العام الماضي نحو 232 مليار دولار وقد ساهمت الشركة في تضخم ثروة بيزوس وأسرته منذ أسسها عام 1994 لتصبح أكثر من 131 مليار دولار حسب مجلة فوربس الامريكية. أما ماكينزي بيزوس فهي مؤلفة وروائية ناجحة ولها روايتان منشورتان حيث تعلمت فن القص في جامعة برينستون على يدي توني موريسون الفائزة بجائزة نوبل. ووصفتها موريسون قائلة إنها ""بالفعل واحدة من أفضل الطلبة الذين درست لهم فن الكتابة الإبداعية"". وتعد هذه التسوية هي الأعلى في التاريخ منذ انفصال تاجر التحف أليك ويلدرستاين وزوجته السابقة عام 1999 والتي دفع بموجبها لزوجته 3.8 مليار دولار.",وافق أغنى رجل في العالم وصاحب شركة أ مازون وزوجته ماكينزي على اتفاق للانفصال يدفع بموجبه بيزوس لها 35 مليار دولار.,Gemma,Yes,No,Yes,Yes,No,Yes,No,No,,6.0,0.8,2 – Mostly Unfaithful: many incorrect/missing facts
0,"وستحتفظ ماكينزي لنفسها بحصة 4% من أسهم شركة أمازون التي أسسها بيزوس قبل 25 عاما. وأعلنت ماكينزي الاتفاق في تغريدة نشرتها على حسابها على موقع تويتر وهي التغريدة الأولى والوحيدة لها على الموقع منذ اشتركت فيه قبل أيام. وعاش جيف وماكينزي بيزوس معا منذ مطلع التسعينات من القرن الماضي وأنجبا 4 أبناء. وتعتبر امازون واحدة من أقوى مواقع المبيعات على شبكة الإنترنت وبلغ حجم مبيعاتها العام الماضي نحو 232 مليار دولار وقد ساهمت الشركة في تضخم ثروة بيزوس وأسرته منذ أسسها عام 1994 لتصبح أكثر من 131 مليار دولار حسب مجلة فوربس الامريكية. أما ماكينزي بيزوس فهي مؤلفة وروائية ناجحة ولها روايتان منشورتان حيث تعلمت فن القص في جامعة برينستون على يدي توني موريسون الفائزة بجائزة نوبل. ووصفتها موريسون قائلة إنها ""بالفعل واحدة من أفضل الطلبة الذين درست لهم فن الكتابة الإبداعية"". وتعد هذه التسوية هي الأعلى في التاريخ منذ انفصال تاجر التحف أليك ويلدرستاين وزوجته السابقة عام 1999 والتي دفع بموجبها لزوجته 3.8 مليار دولار.",وافق أغنى رجل في العالم وصاحب شركة أ مازون وزوجته ماكينزي على اتفاق للانفصال يدفع بموجبه بيزوس لها 35 مليار دولار.,Jais-6.7b,Yes,No,No,No,Yes,No,No,No,,4.0,1.0,1 – Completely Unfaithful: major hallucinations or contradictions
0,"وستحتفظ ماكينزي لنفسها بحصة 4% من أسهم شركة أمازون التي أسسها بيزوس قبل 25 عاما. وأعلنت ماكينزي الاتفاق في تغريدة نشرتها على حسابها على موقع تويتر وهي التغريدة الأولى والوحيدة لها على الموقع منذ اشتركت فيه قبل أيام. وعاش جيف وماكينزي بيزوس معا منذ مطلع التسعينات من القرن الماضي وأنجبا 4 أبناء. وتعتبر امازون واحدة من أقوى مواقع المبيعات على شبكة الإنترنت وبلغ حجم مبيعاتها العام الماضي نحو 232 مليار دولار وقد ساهمت الشركة في تضخم ثروة بيزوس وأسرته منذ أسسها عام 1994 لتصبح أكثر من 131 مليار دولار حسب مجلة فوربس الامريكية. أما ماكينزي بيزوس فهي مؤلفة وروائية ناجحة ولها روايتان منشورتان حيث تعلمت فن القص في جامعة برينستون على يدي توني موريسون الفائزة بجائزة نوبل. ووصفتها موريسون قائلة إنها ""بالفعل واحدة من أفضل الطلبة الذين درست لهم فن الكتابة الإبداعية"". وتعد هذه التسوية هي الأعلى في التاريخ منذ انفصال تاجر التحف أليك ويلدرستاين وزوجته السابقة عام 1999 والتي دفع بموجبها لزوجته 3.8 مليار دولار.",وافق أغنى رجل في العالم وصاحب شركة أ مازون وزوجته ماكينزي على اتفاق للانفصال يدفع بموجبه بيزوس لها 35 مليار دولار.,Noon,Yes,No,No,No,Yes,No,No,No,,8.0,0.75,1 – Completely Unfaithful: major hallucinations or contradictions
0,"وستحتفظ ماكينزي لنفسها بحصة 4% من أسهم شركة أمازون التي أسسها بيزوس قبل 25 عاما. وأعلنت ماكينزي الاتفاق في تغريدة نشرتها على حسابها على موقع تويتر وهي التغريدة الأولى والوحيدة لها على الموقع منذ اشتركت فيه قبل أيام. وعاش جيف وماكينزي بيزوس معا منذ مطلع التسعينات من القرن الماضي وأنجبا 4 أبناء. وتعتبر امازون واحدة من أقوى مواقع المبيعات على شبكة الإنترنت وبلغ حجم مبيعاتها العام الماضي نحو 232 مليار دولار وقد ساهمت الشركة في تضخم ثروة بيزوس وأسرته منذ أسسها عام 1994 لتصبح أكثر من 131 مليار دولار حسب مجلة فوربس الامريكية. أما ماكينزي بيزوس فهي مؤلفة وروائية ناجحة ولها روايتان منشورتان حيث تعلمت فن القص في جامعة برينستون على يدي توني موريسون الفائزة بجائزة نوبل. ووصفتها موريسون قائلة إنها ""بالفعل واحدة من أفضل الطلبة الذين درست لهم فن الكتابة الإبداعية"". وتعد هذه التسوية هي الأعلى في التاريخ منذ انفصال تاجر التحف أليك ويلدرستاين وزوجته السابقة عام 1999 والتي دفع بموجبها لزوجته 3.8 مليار دولار.",وافق أغنى رجل في العالم وصاحب شركة أ مازون وزوجته ماكينزي على اتفاق للانفصال يدفع بموجبه بيزوس لها 35 مليار دولار.,bloom-7b,Yes,No,Yes,No,Yes,No,No,No,,5.0,1.0,1 – Completely Unfaithful: major hallucinations or contradictions
0,"وستحتفظ ماكينزي لنفسها بحصة 4% من أسهم شركة أمازون التي أسسها بيزوس قبل 25 عاما. وأعلنت ماكينزي الاتفاق في تغريدة نشرتها على حسابها على موقع تويتر وهي التغريدة الأولى والوحيدة لها على الموقع منذ اشتركت فيه قبل أيام. وعاش جيف وماكينزي بيزوس معا منذ مطلع التسعينات من القرن الماضي وأنجبا 4 أبناء. وتعتبر امازون واحدة من أقوى مواقع المبيعات على شبكة الإنترنت وبلغ حجم مبيعاتها العام الماضي نحو 232 مليار دولار وقد ساهمت الشركة في تضخم ثروة بيزوس وأسرته منذ أسسها عام 1994 لتصبح أكثر من 131 مليار دولار حسب مجلة فوربس الامريكية. أما ماكينزي بيزوس فهي مؤلفة وروائية ناجحة ولها روايتان منشورتان حيث تعلمت فن القص في جامعة برينستون على يدي توني موريسون الفائزة بجائزة نوبل. ووصفتها موريسون قائلة إنها ""بالفعل واحدة من أفضل الطلبة الذين درست لهم فن الكتابة الإبداعية"". وتعد هذه التسوية هي الأعلى في التاريخ منذ انفصال تاجر التحف أليك ويلدرستاين وزوجته السابقة عام 1999 والتي دفع بموجبها لزوجته 3.8 مليار دولار.",وافق أغنى رجل في العالم وصاحب شركة أ مازون وزوجته ماكينزي على اتفاق للانفصال يدفع بموجبه بيزوس لها 35 مليار دولار.,llama,No,No,No,Yes,No,No,No,Yes,,1.0,0.5,3 – Partially Faithful: some correct info but key omissions/distortions
0,"وستحتفظ ماكينزي لنفسها بحصة 4% من أسهم شركة أمازون التي أسسها بيزوس قبل 25 عاما. وأعلنت ماكينزي الاتفاق في تغريدة نشرتها على حسابها على موقع تويتر وهي التغريدة الأولى والوحيدة لها على الموقع منذ اشتركت فيه قبل أيام. وعاش جيف وماكينزي بيزوس معا منذ مطلع التسعينات من القرن الماضي وأنجبا 4 أبناء. وتعتبر امازون واحدة من أقوى مواقع المبيعات على شبكة الإنترنت وبلغ حجم مبيعاتها العام الماضي نحو 232 مليار دولار وقد ساهمت الشركة في تضخم ثروة بيزوس وأسرته منذ أسسها عام 1994 لتصبح أكثر من 131 مليار دولار حسب مجلة فوربس الامريكية. أما ماكينزي بيزوس فهي مؤلفة وروائية ناجحة ولها روايتان منشورتان حيث تعلمت فن القص في جامعة برينستون على يدي توني موريسون الفائزة بجائزة نوبل. ووصفتها موريسون قائلة إنها ""بالفعل واحدة من أفضل الطلبة الذين درست لهم فن الكتابة الإبداعية"". وتعد هذه التسوية هي الأعلى في التاريخ منذ انفصال تاجر التحف أليك ويلدرستاين وزوجته السابقة عام 1999 والتي دفع بموجبها لزوجته 3.8 مليار دولار.",وافق أغنى رجل في العالم وصاحب شركة أ مازون وزوجته ماكينزي على اتفاق للانفصال يدفع بموجبه بيزوس لها 35 مليار دولار.,qwen2.5-7b,No,No,No,No,No,No,No,No,,2.0,0.0,5 – Fully Faithful: no factual errors; complete and accurate
1,"التقى كيري برئيس الحكومة الباكستانية نواز شريف وقال كيري عقب اجتماعه برئيس الحكومة الباكستانية نواز شريف في العاصمة اسلام آباد الخميس إن الجانبين اتفقا على اعادة العمل ""بالشراكة الكاملة"" بين بلديهما، معبرا عن امله في وضع نهاية للقطيعة التي تسببت بها الغارات الجوية الامريكية وغيرها من المشكلات بما فيها عملية اغتيال اسامة بن لادن عام 2011. وقال كيري في مقابلة تلفزيونية اجراها في وقت لاحق متطرقا الى الغارات التي تنفذها الطائرات الامريكية من دون طيار على اهداف في باكستان ""اعتقد ان هذا البرنامج سيتوقف لأننا صفينا معظم مصادر التهديد ونواصل تصفيتها."" وأضاف ""أعتقد ان للرئيس (اوباما) برنامج زمني محدد بهذا الصدد، ونأمل ان تتوقف الغارات قريبا جدا جدا"" على حد تعبيره. وذهب كيري بهذا التصريح الى ابعد مما ذهب اليه الرئيس اوباما، الذي قال في خطاب القاه في الثالث والعشرين من مايو/ايار الماضي إن الحاجة الى الغارات الجوية ستتقلص في ""ساحة الحرب الافغانية"" كلما تسارع انسحاب القوات الامريكية التي من المقرر ان تنهي انسحابها من افغانستان بحلول نهاية العام المقبل. مواضيع قد تهمك نهاية ولكن اوباما لم يتطرق في ذلك الخطاب الى امكانية وقف الغارات بشكل نهائي، بل برر استخدامها ضد ""الارهابيين الذين يشكلون تهديدا مستمرا وماثلا للشعب الامريكي عندما تعجز الحكومات الاخرى عن اتخاذ الاجراءات الفعالة للحد من هذا التهديد."" يذكر ان عدد الغارات الامريكية على اهداف في باكستان آخذ بالتناقص، إذ لم تسجل الا 17 غارة هذه السنة مقارنة بـ 48 في 2012 و73 في 2011.","قال وزير الخارجية الأمريكي الزائر جون كيري لمضيفيه الباكستانيين إنه يأمل ان تتوقف الغارات التي تنفذها طائرات بلاده دون طيار على اهداف بباكستان ""قريبا جدا جدا.""",Allam,No,No,No,No,No,No,No,No,,0.0,0.0,5 – Fully Faithful: no factual errors; complete and accurate
1,"التقى كيري برئيس الحكومة الباكستانية نواز شريف وقال كيري عقب اجتماعه برئيس الحكومة الباكستانية نواز شريف في العاصمة اسلام آباد الخميس إن الجانبين اتفقا على اعادة العمل ""بالشراكة الكاملة"" بين بلديهما، معبرا عن امله في وضع نهاية للقطيعة التي تسببت بها الغارات الجوية الامريكية وغيرها من المشكلات بما فيها عملية اغتيال اسامة بن لادن عام 2011. وقال كيري في مقابلة تلفزيونية اجراها في وقت لاحق متطرقا الى الغارات التي تنفذها الطائرات الامريكية من دون طيار على اهداف في باكستان ""اعتقد ان هذا البرنامج سيتوقف لأننا صفينا معظم مصادر التهديد ونواصل تصفيتها."" وأضاف ""أعتقد ان للرئيس (اوباما) برنامج زمني محدد بهذا الصدد، ونأمل ان تتوقف الغارات قريبا جدا جدا"" على حد تعبيره. وذهب كيري بهذا التصريح الى ابعد مما ذهب اليه الرئيس اوباما، الذي قال في خطاب القاه في الثالث والعشرين من مايو/ايار الماضي إن الحاجة الى الغارات الجوية ستتقلص في ""ساحة الحرب الافغانية"" كلما تسارع انسحاب القوات الامريكية التي من المقرر ان تنهي انسحابها من افغانستان بحلول نهاية العام المقبل. مواضيع قد تهمك نهاية ولكن اوباما لم يتطرق في ذلك الخطاب الى امكانية وقف الغارات بشكل نهائي، بل برر استخدامها ضد ""الارهابيين الذين يشكلون تهديدا مستمرا وماثلا للشعب الامريكي عندما تعجز الحكومات الاخرى عن اتخاذ الاجراءات الفعالة للحد من هذا التهديد."" يذكر ان عدد الغارات الامريكية على اهداف في باكستان آخذ بالتناقص، إذ لم تسجل الا 17 غارة هذه السنة مقارنة بـ 48 في 2012 و73 في 2011.","قال وزير الخارجية الأمريكي الزائر جون كيري لمضيفيه الباكستانيين إنه يأمل ان تتوقف الغارات التي تنفذها طائرات بلاده دون طيار على اهداف بباكستان ""قريبا جدا جدا.""",Fanar,No,No,No,No,Yes,No,No,No,,4.0,0.2,4 – Mostly Faithful: all major facts correct; minor issues only
